"2011 census frozen ward","mnemonic","Total","Male","Female"
"Great Cornard North","E36005493",20,10,10
"Great Cornard South","E36005494",20,10,10
"Hadleigh North","E36005495",10,10,5
"Hadleigh South","E36005496",0,0,0
"Holbrook","E36005497",5,0,0
"Lavenham","E36005498",0,0,0
"Leavenheath","E36005499",0,0,0
"Long Melford","E36005500",5,0,5
"Lower Brett","E36005501",5,0,0
"Mid Samford","E36005502",5,5,0
"Nayland","E36005503",0,0,0
"North Cosford","E36005504",5,0,5
"Pinewood","E36005505",10,5,5
"South Cosford","E36005506",0,0,0
"Sudbury East","E36005507",15,10,5
"Sudbury North","E36005508",5,5,5
"Sudbury South","E36005509",25,15,10
"Waldingfield","E36005510",5,5,0
"All Saints","E36005511",5,5,0
"Brandon East","E36005512",15,10,5
"Brandon West","E36005513",5,0,5
"Eriswell and The Rows","E36005514",5,5,0
"Exning","E36005515",5,0,0
"Great Heath","E36005516",10,5,5
"Iceni","E36005517",5,0,0
"Lakenheath","E36005518",5,5,0
"Manor","E36005519",0,0,0
"Market","E36005520",5,0,5
"Red Lodge","E36005521",5,5,0
"Severals","E36005522",10,5,5
"South","E36005523",0,0,0
"St Mary's","E36005524",15,10,0
"Alexandra","E36005525",45,30,15
"Bixley","E36005526",10,5,5
"Bridge","E36005527",45,25,20
"Castle Hill","E36005528",10,10,0
"Gainsborough","E36005529",60,40,20
"Gipping","E36005530",45,30,15
"Holywells","E36005531",20,15,5
"Priory Heath","E36005532",45,30,15
"Rushmere","E36005533",20,15,5
"Sprites","E36005534",20,15,5
"St John's","E36005535",10,5,5
"St Margaret's","E36005536",15,10,5
"Stoke Park","E36005537",45,25,20
"Westgate","E36005538",65,40,25
"Whitehouse","E36005539",35,25,10
"Whitton","E36005540",30,20,10
"Bacton and Old Newton","E36005541",5,0,5
"Badwell Ash","E36005542",0,0,0
"Barking and Somersham","E36005543",5,5,0
"Bramford and Blakenham","E36005544",5,5,0
"Claydon and Barham","E36005545",5,5,0
"Debenham","E36005546",0,0,0
"Elmswell and Norton","E36005547",20,10,10
"Eye","E36005548",5,0,0
"Fressingfield","E36005549",5,0,0
"Gislingham","E36005550",0,0,0
"Haughley and Wetherden","E36005551",5,5,5
"Helmingham and Coddenham","E36005552",0,0,0
"Hoxne","E36005553",0,0,0
"Mendlesham","E36005554",0,0,0
"Needham Market","E36005555",5,5,0
"Onehouse","E36005556",5,5,0
"Palgrave","E36005557",10,5,5
"Rattlesden","E36005558",5,0,5
"Rickinghall and Walsham","E36005559",5,0,0
"Ringshall","E36005560",5,5,5
"Stowmarket Central","E36005561",20,10,15
"Stowmarket North","E36005562",20,15,5
"Stowmarket South","E36005563",20,15,5
"Stowupland","E36005564",5,0,5
"Stradbroke and Laxfield","E36005565",5,5,5
"The Stonhams","E36005566",5,0,0
"Thurston and Hessett","E36005567",0,0,0
"Wetheringsett","E36005568",10,5,5
"Woolpit","E36005569",5,0,0
"Worlingworth","E36005570",0,0,0
"Abbeygate","E36005571",15,5,5
"Bardwell","E36005572",10,5,5
"Barningham","E36005573",10,5,0
"Barrow","E36005574",5,5,0
"Cavendish","E36005575",0,0,0
"Chedburgh","E36005576",5,5,0
"Clare","E36005577",5,5,0
"Eastgate","E36005578",5,0,5
"Fornham","E36005579",0,0,0
"Great Barton","E36005580",0,0,0
"Haverhill East","E36005581",20,10,10
"Haverhill North","E36005582",40,30,15
"Haverhill South","E36005583",35,20,15
"Haverhill West","E36005584",10,5,5
"Horringer and Whelnetham","E36005585",5,5,0
"Hundon","E36005586",5,0,0
"Ixworth","E36005587",0,0,0
"Kedington","E36005588",0,0,0
"Minden","E36005589",10,5,10
"Moreton Hall","E36005590",10,5,5
"Northgate","E36005591",15,5,10
"Pakenham","E36005592",0,0,0
"Risby","E36005593",0,0,0
"Risbygate","E36005594",15,10,5
"Rougham","E36005595",5,5,0
"Southgate","E36005596",5,5,0
"St Olaves","E36005597",15,10,5
"Stanton","E36005598",5,0,5
"Westgate","E36005599",5,5,0
"Wickhambrook","E36005600",5,5,5
"Withersfield","E36005601",0,0,0
"Aldeburgh","E36005602",0,0,0
"Earl Soham","E36005603",5,0,0
"Farlingaye","E36005604",5,5,0
"Felixstowe East","E36005605",5,5,0
"Felixstowe North","E36005606",5,5,5
"Felixstowe South","E36005607",10,5,5
"Felixstowe South East","E36005608",0,0,0
"Felixstowe West","E36005609",30,15,15
"Framlingham","E36005610",10,5,5
"Grundisburgh","E36005611",0,0,0
"Hacheston","E36005612",0,0,0
"Hollesley with Eyke","E36005613",0,0,0
"Kesgrave East","E36005614",10,5,5
"Kesgrave West","E36005615",5,0,5
"Kyson","E36005616",5,5,0
"Leiston","E36005617",15,10,5
"Martlesham","E36005618",5,5,0
"Melton and Ufford","E36005619",5,5,5
"Nacton","E36005620",0,0,0
"Orford and Tunstall","E36005621",0,0,0
"Otley","E36005622",0,0,0
"Peasenhall","E36005623",0,0,0
"Rendlesham","E36005624",5,0,0
"Riverside","E36005625",0,0,0
"Rushmere St Andrew","E36005626",5,5,0
"Saxmundham","E36005627",15,10,5
"Seckford","E36005628",5,5,0
"Snape","E36005629",0,0,0
"Sutton","E36005630",5,0,0
"Trimleys with Kirton","E36005631",10,10,5
"Walberswick and Wenhaston","E36005632",5,0,0
"Wickham Market","E36005633",0,0,0
"Witnesham","E36005634",0,0,0
"Yoxford","E36005635",5,5,0
"Beccles North","E36005636",5,5,0
"Beccles South","E36005637",15,10,5
"Blything","E36005638",5,5,0
"Bungay","E36005639",10,5,5
"Carlton","E36005640",20,15,5
"Carlton Colville","E36005641",25,10,15
"Gunton and Corton","E36005642",5,5,0
"Halesworth","E36005643",15,10,5
"Harbour","E36005644",140,80,60
"Kessingland","E36005645",20,10,10
"Kirkley","E36005646",70,35,35
"Lothingland","E36005647",5,0,5
"Normanston","E36005648",45,25,25
"Oulton","E36005649",10,10,0
"Oulton Broad","E36005650",10,10,5
"Pakefield","E36005651",25,10,15
"Southwold and Reydon","E36005652",5,5,0
"St Margaret's","E36005653",40,25,15
"The Saints","E36005654",0,0,0
"Wainford","E36005655",5,5,0
"Whitton","E36005656",30,20,10
"Worlingham","E36005657",5,5,5
"Wrentham","E36005658",5,5,0
"Belsize","E36007157",20,5,15
"Bloomsbury","E36007158",15,10,5
"Camden Town with Primrose Hill","E36007159",50,30,15
"Cantelowes","E36007160",65,35,25
"Fortune Green","E36007161",25,15,10
"Frognal and Fitzjohns","E36007162",5,5,5
"Gospel Oak","E36007163",50,35,15
"Hampstead Town","E36007164",5,5,5
"Haverstock","E36007165",40,20,15
"Highgate","E36007166",30,15,15
"Holborn and Covent Garden","E36007167",35,20,15
"Kentish Town","E36007168",40,25,15
"Kilburn","E36007169",30,15,10
"King's Cross","E36007170",45,25,20
"Regent's Park","E36007171",50,25,20
"St Pancras and Somers Town","E36007172",80,50,30
"Swiss Cottage","E36007173",20,15,5
"West Hampstead","E36007174",20,10,10
"Aldersgate,Cheap","E36007051",0,0,0
"Aldgate,Billingsgate,Bishopsgate,Bridge,Broad Street,Candlewick,Corn","E36007052",5,0,0
"Bassishaw,Coleman Street,Cripplegate","E36007053",0,0,0
"Bread Street,Castle Baynard,Cordwainer,Dowgate,Farringdon Within,Far","E36007054",0,0,0
"Brownswood","E36007260",50,25,25
"Cazenove","E36007261",35,10,25
"Chatham","E36007262",70,45,25
"Clissold","E36007263",25,15,10
"Dalston","E36007264",50,30,20
"De Beauvoir","E36007265",50,25,30
"Hackney Central","E36007266",60,30,25
"Hackney Downs","E36007267",50,15,30
"Haggerston","E36007268",50,30,20
"Hoxton","E36007269",40,15,25
"King's Park","E36007270",75,50,25
"Leabridge","E36007271",60,25,35
"Lordship","E36007272",40,20,20
"New River","E36007273",50,30,20
"Queensbridge","E36007274",50,30,20
"Springfield","E36007275",40,20,25
"Stoke Newington Central","E36007276",35,15,20
"Victoria","E36007277",75,45,25
"Wick","E36007278",85,50,35
"Addison","E36007279",60,30,30
"Askew","E36007280",50,30,20
"Avonmore and Brook Green","E36007281",30,15,15
"College Park and Old Oak","E36007282",55,30,25
"Fulham Broadway","E36007283",30,25,5
"Fulham Reach","E36007284",25,15,10
"Hammersmith Broadway","E36007285",35,30,5
"Munster","E36007286",10,5,10
"North End","E36007287",30,15,15
"Palace Riverside","E36007288",5,5,0
"Parsons Green and Walham","E36007289",15,10,0
"Ravenscourt Park","E36007290",25,15,10
"Sands End","E36007291",35,25,10
"Shepherd's Bush Green","E36007292",60,35,25
"Town","E36007293",20,10,10
"Wormholt and White City","E36007294",85,50,35
"Alexandra","E36007295",15,10,5
"Bounds Green","E36007296",35,15,15
"Bruce Grove","E36007297",75,50,25
"Crouch End","E36007298",10,5,5
"Fortis Green","E36007299",15,10,5
"Harringay","E36007300",45,25,15
"Highgate","E36007301",20,10,5
"Hornsey","E36007302",65,45,20
"Muswell Hill","E36007303",15,10,5
"Noel Park","E36007304",55,30,25
"Northumberland Park","E36007305",95,50,40
"Seven Sisters","E36007306",65,40,25
"St Ann's","E36007307",45,25,20
"Stroud Green","E36007308",35,25,15
"Tottenham Green","E36007309",70,30,40
"Tottenham Hale","E36007310",90,55,35
"West Green","E36007311",50,25,25
"White Hart Lane","E36007312",80,45,35
"Woodside","E36007313",40,25,15
"Barnsbury","E36007395",45,25,20
"Bunhill","E36007396",40,20,20
"Caledonian","E36007397",50,25,25
"Canonbury","E36007398",30,20,10
"Clerkenwell","E36007399",55,20,35
"Finsbury Park","E36007400",75,45,30
"Highbury East","E36007401",40,20,20
"Highbury West","E36007402",50,30,20
"Hillrise","E36007403",50,35,15
"Holloway","E36007404",95,55,40
"Junction","E36007405",45,25,20
"Mildmay","E36007406",40,20,20
"St George's","E36007407",45,35,10
"St Mary's","E36007408",45,25,20
"St Peter's","E36007409",35,20,15
"Tollington","E36007410",60,35,25
"Abingdon","E36007411",20,10,5
"Brompton","E36007412",5,0,5
"Campden","E36007413",5,5,0
"Colville","E36007414",20,10,5
"Courtfield","E36007415",10,5,5
"Cremorne","E36007416",20,10,5
"Earl's Court","E36007417",15,10,5
"Golborne","E36007418",50,35,15
"Hans Town","E36007419",5,0,5
"Holland","E36007420",10,5,5
"Norland","E36007421",15,10,5
"Notting Barns","E36007422",35,15,20
"Pembridge","E36007423",15,5,10
"Queen's Gate","E36007424",0,0,0
"Redcliffe","E36007425",10,10,5
"Royal Hospital","E36007426",5,5,0
"St Charles","E36007427",30,20,15
"Stanley","E36007428",10,5,5
"Bishop's","E36007445",30,20,10
"Brixton Hill","E36007446",55,40,15
"Clapham Common","E36007447",30,15,10
"Clapham Town","E36007448",45,25,20
"Coldharbour","E36007449",95,60,35
"Ferndale","E36007450",50,20,30
"Gipsy Hill","E36007451",80,50,30
"Herne Hill","E36007452",90,50,35
"Knight's Hill","E36007453",75,45,30
"Larkhall","E36007454",110,65,45
"Oval","E36007455",40,25,15
"Prince's","E36007456",60,40,20
"St Leonard's","E36007457",55,30,25
"Stockwell","E36007458",50,30,20
"Streatham Hill","E36007459",55,30,25
"Streatham South","E36007460",40,25,15
"Streatham Wells","E36007461",45,35,15
"Thornton","E36007462",40,30,10
"Thurlow Park","E36007463",35,20,15
"Tulse Hill","E36007464",65,35,30
"Vassall","E36007465",75,45,30
"Bellingham","E36007466",85,55,35
"Blackheath","E36007467",60,40,20
"Brockley","E36007468",85,40,45
"Catford South","E36007469",60,40,25
"Crofton Park","E36007470",50,25,25
"Downham","E36007471",85,55,35
"Evelyn","E36007472",85,45,40
"Forest Hill","E36007473",75,50,25
"Grove Park","E36007474",50,35,20
"Ladywell","E36007475",50,30,20
"Lee Green","E36007476",30,15,15
"Lewisham Central","E36007477",85,40,45
"New Cross","E36007478",90,50,40
"Perry Vale","E36007479",75,40,30
"Rushey Green","E36007480",90,50,40
"Sydenham","E36007481",70,40,30
"Telegraph Hill","E36007482",65,35,25
"Whitefoot","E36007483",80,45,30
"Beckton","E36007504",70,40,30
"Boleyn","E36007505",55,35,20
"Canning Town North","E36007506",75,35,40
"Canning Town South","E36007507",85,50,40
"Custom House","E36007508",70,40,30
"East Ham Central","E36007509",35,25,10
"East Ham North","E36007510",30,20,10
"East Ham South","E36007511",60,35,25
"Forest Gate North","E36007512",60,30,30
"Forest Gate South","E36007513",70,40,25
"Green Street East","E36007514",40,25,15
"Green Street West","E36007515",40,25,15
"Little Ilford","E36007516",80,45,35
"Manor Park","E36007517",50,30,15
"Plaistow North","E36007518",55,35,20
"Plaistow South","E36007519",55,30,30
"Royal Docks","E36007520",45,30,15
"Stratford and New Town","E36007521",85,50,35
"Wall End","E36007522",65,30,30
"West Ham","E36007523",75,45,35
"Brunswick Park","E36007563",70,35,35
"Camberwell Green","E36007564",60,30,30
"Cathedrals","E36007565",60,40,20
"Chaucer","E36007566",50,30,20
"College","E36007567",35,15,20
"East Dulwich","E36007568",35,25,10
"East Walworth","E36007569",40,20,20
"Faraday","E36007570",65,40,25
"Grange","E36007571",60,35,25
"Livesey","E36007572",75,50,25
"Newington","E36007573",70,40,30
"Nunhead","E36007574",70,40,30
"Peckham","E36007575",75,35,35
"Peckham Rye","E36007576",45,35,10
"Riverside","E36007577",40,20,20
"Rotherhithe","E36007578",50,25,20
"South Bermondsey","E36007579",70,45,25
"South Camberwell","E36007580",55,35,20
"Surrey Docks","E36007581",30,15,15
"The Lane","E36007582",70,35,30
"Village","E36007583",20,10,10
"Bethnal Green North","E36007602",75,40,30
"Bethnal Green South","E36007603",80,40,40
"Blackwall and Cubitt Town","E36007604",95,55,40
"Bow East","E36007605",80,50,30
"Bow West","E36007606",60,40,20
"Bromley-by-Bow","E36007607",115,75,40
"East India and Lansbury","E36007608",130,70,55
"Limehouse","E36007609",85,50,35
"Mile End and Globe Town","E36007610",65,35,30
"Mile End East","E36007611",110,70,40
"Millwall","E36007612",105,65,40
"Shadwell","E36007613",75,45,25
"Spitalfields and Banglatown","E36007614",50,30,20
"St Dunstan's and Stepney Green","E36007615",110,70,40
"St Katharine's and Wapping","E36007616",35,20,15
"Weavers","E36007617",55,30,25
"Whitechapel","E36007618",70,40,25
"Balham","E36007639",15,10,5
"Bedford","E36007640",30,15,15
"Earlsfield","E36007641",25,15,10
"East Putney","E36007642",15,5,10
"Fairfield","E36007643",25,15,10
"Furzedown","E36007644",50,30,20
"Graveney","E36007645",40,25,15
"Latchmere","E36007646",70,45,20
"Nightingale","E36007647",15,5,10
"Northcote","E36007648",10,10,0
"Queenstown","E36007649",45,30,15
"Roehampton and Putney Heath","E36007650",60,35,25
"Shaftesbury","E36007651",30,15,15
"Southfields","E36007652",30,15,10
"St Mary's Park","E36007653",30,15,15
"Thamesfield","E36007654",20,10,5
"Tooting","E36007655",40,25,15
"Wandsworth Common","E36007656",30,10,15
"West Hill","E36007657",40,20,20
"West Putney","E36007658",25,15,10
"Abbey Road","E36007659",10,5,0
"Bayswater","E36007660",10,10,5
"Bryanston and Dorset Square","E36007661",15,5,5
"Church Street","E36007662",55,30,25
"Churchill","E36007663",30,20,10
"Harrow Road","E36007664",35,15,20
"Hyde Park","E36007665",5,5,5
"Knightsbridge and Belgravia","E36007666",0,0,0
"Lancaster Gate","E36007667",15,10,5
"Little Venice","E36007668",15,10,5
"Maida Vale","E36007669",20,10,10
"Marylebone High Street","E36007670",10,5,5
"Queen's Park","E36007671",45,25,20
"Regent's Park","E36007672",10,10,0
"St James's","E36007673",55,30,20
"Tachbrook","E36007674",15,10,5
"Vincent Square","E36007675",25,10,15
"Warwick","E36007676",20,10,10
"West End","E36007677",20,10,5
"Westbourne","E36007678",45,30,15
"Abbey","E36007055",65,30,30
"Alibon","E36007056",70,40,35
"Becontree","E36007057",65,40,25
"Chadwell Heath","E36007058",40,25,15
"Eastbrook","E36007059",70,35,35
"Eastbury","E36007060",50,30,25
"Gascoigne","E36007061",45,25,15
"Goresbrook","E36007062",45,30,15
"Heath","E36007063",40,25,15
"Longbridge","E36007064",30,20,10
"Mayesbrook","E36007065",40,25,20
"Parsloes","E36007066",45,20,20
"River","E36007067",40,25,20
"Thames","E36007068",75,50,30
"Valence","E36007069",45,25,20
"Village","E36007070",50,20,30
"Whalebone","E36007071",45,20,20
"Brunswick Park","E36007072",35,20,15
"Burnt Oak","E36007073",65,35,25
"Childs Hill","E36007074",55,40,20
"Colindale","E36007075",70,45,30
"Coppetts","E36007076",30,15,10
"East Barnet","E36007077",35,25,10
"East Finchley","E36007078",25,15,10
"Edgware","E36007079",20,10,10
"Finchley Church End","E36007080",15,5,10
"Garden Suburb","E36007081",15,10,5
"Golders Green","E36007082",45,20,25
"Hale","E36007083",35,20,15
"Hendon","E36007084",40,25,15
"High Barnet","E36007085",25,15,10
"Mill Hill","E36007086",45,30,15
"Oakleigh","E36007087",30,20,10
"Totteridge","E36007088",20,10,5
"Underhill","E36007089",45,30,15
"West Finchley","E36007090",25,15,15
"West Hendon","E36007091",45,20,20
"Woodhouse","E36007092",35,20,15
"Barnehurst","E36007093",25,15,15
"Belvedere","E36007094",55,35,20
"Blackfen and Lamorbey","E36007095",5,5,0
"Blendon and Penhill","E36007096",20,15,5
"Brampton","E36007097",10,5,5
"Christchurch","E36007098",20,15,5
"Colyers","E36007099",30,20,10
"Cray Meadows","E36007100",45,25,15
"Crayford","E36007101",40,20,20
"Danson Park","E36007102",25,20,5
"East Wickham","E36007103",20,10,10
"Erith","E36007104",50,25,20
"Falconwood and Welling","E36007105",10,5,5
"Lesnes Abbey","E36007106",25,15,10
"Longlands","E36007107",10,5,5
"North End","E36007108",60,40,20
"Northumberland Heath","E36007109",35,25,10
"Sidcup","E36007110",10,5,5
"St Mary's","E36007111",15,15,5
"St Michael's","E36007112",20,10,10
"Thamesmead East","E36007113",50,30,25
"Alperton","E36007114",30,20,5
"Barnhill","E36007115",55,35,25
"Brondesbury Park","E36007116",40,25,15
"Dollis Hill","E36007117",65,40,25
"Dudden Hill","E36007118",45,20,25
"Fryent","E36007119",30,20,10
"Harlesden","E36007120",95,60,35
"Kensal Green","E36007121",55,30,25
"Kenton","E36007122",15,5,5
"Kilburn","E36007123",65,40,20
"Mapesbury","E36007124",45,25,20
"Northwick Park","E36007125",30,20,10
"Preston","E36007126",30,20,10
"Queens Park","E36007127",30,20,10
"Queensbury","E36007128",40,30,10
"Stonebridge","E36007129",135,80,55
"Sudbury","E36007130",50,30,20
"Tokyngton","E36007131",45,35,10
"Welsh Harp","E36007132",40,20,20
"Wembley Central","E36007133",30,15,10
"Willesden Green","E36007134",65,40,25
"Bickley","E36007135",25,15,10
"Biggin Hill","E36007136",25,15,5
"Bromley Common and Keston","E36007137",40,25,15
"Bromley Town","E36007138",35,25,15
"Chelsfield and Pratts Bottom","E36007139",15,10,5
"Chislehurst","E36007140",25,20,5
"Clock House","E36007141",30,20,10
"Copers Cope","E36007142",20,15,5
"Cray Valley East","E36007143",65,40,25
"Cray Valley West","E36007144",75,45,30
"Crystal Palace","E36007145",60,35,25
"Darwin","E36007146",5,5,0
"Farnborough and Crofton","E36007147",15,10,5
"Hayes and Coney Hall","E36007148",25,15,10
"Kelsey and Eden Park","E36007149",25,15,10
"Mottingham and Chislehurst North","E36007150",40,20,20
"Orpington","E36007151",35,25,15
"Penge and Cator","E36007152",55,35,25
"Petts Wood and Knoll","E36007153",10,5,5
"Plaistow and Sundridge","E36007154",30,15,15
"Shortlands","E36007155",10,10,0
"West Wickham","E36007156",15,10,5
"Addiscombe","E36007175",85,50,35
"Ashburton","E36007176",70,40,30
"Bensham Manor","E36007177",115,80,40
"Broad Green","E36007178",165,105,65
"Coulsdon East","E36007179",35,15,15
"Coulsdon West","E36007180",30,20,10
"Croham","E36007181",50,25,25
"Fairfield","E36007182",110,65,45
"Fieldway","E36007183",85,50,30
"Heathfield","E36007184",70,45,25
"Kenley","E36007185",40,25,20
"New Addington","E36007186",55,35,25
"Norbury","E36007187",50,35,15
"Purley","E36007188",50,35,15
"Sanderstead","E36007189",25,10,10
"Selhurst","E36007190",130,85,40
"Selsdon and Ballards","E36007191",25,15,10
"Shirley","E36007192",50,30,20
"South Norwood","E36007193",105,60,45
"Thornton Heath","E36007194",135,85,55
"Upper Norwood","E36007195",80,45,35
"Waddon","E36007196",90,55,40
"West Thornton","E36007197",120,70,50
"Woodside","E36007198",100,60,45
"Acton Central","E36007199",40,30,10
"Cleveland","E36007200",50,25,25
"Dormers Wells","E36007201",40,25,10
"Ealing Broadway","E36007202",35,15,20
"Ealing Common","E36007203",70,45,25
"East Acton","E36007204",80,55,30
"Elthorne","E36007205",50,30,20
"Greenford Broadway","E36007206",55,35,20
"Greenford Green","E36007207",30,20,10
"Hanger Hill","E36007208",25,15,10
"Hobbayne","E36007209",60,35,25
"Lady Margaret","E36007210",30,15,15
"North Greenford","E36007211",25,25,5
"Northfield","E36007212",20,10,10
"Northolt Mandeville","E36007213",70,40,30
"Northolt West End","E36007214",75,40,35
"Norwood Green","E36007215",50,25,25
"Perivale","E36007216",35,20,15
"South Acton","E36007217",50,30,20
"Southall Broadway","E36007218",60,35,20
"Southall Green","E36007219",45,30,15
"Southfield","E36007220",25,15,10
"Walpole","E36007221",20,15,10
"Bowes","E36007222",55,35,20
"Bush Hill Park","E36007223",30,15,15
"Chase","E36007224",50,30,20
"Cockfosters","E36007225",25,15,10
"Edmonton Green","E36007226",120,70,50
"Enfield Highway","E36007227",90,50,40
"Enfield Lock","E36007228",70,35,35
"Grange","E36007229",25,15,10
"Haselbury","E36007230",75,50,25
"Highlands","E36007231",30,20,10
"Jubilee","E36007232",80,45,35
"Lower Edmonton","E36007233",100,60,40
"Palmers Green","E36007234",45,25,20
"Ponders End","E36007235",85,45,35
"Southbury","E36007236",75,50,30
"Southgate","E36007237",30,20,10
"Southgate Green","E36007238",35,25,10
"Town","E36007239",45,30,20
"Turkey Street","E36007240",70,45,25
"Upper Edmonton","E36007241",110,65,45
"Winchmore Hill","E36007242",20,15,5
"Abbey Wood","E36007243",75,40,30
"Blackheath Westcombe","E36007244",30,15,15
"Charlton","E36007245",60,35,25
"Coldharbour and New Eltham","E36007246",40,20,15
"Eltham North","E36007247",25,15,10
"Eltham South","E36007248",40,20,20
"Eltham West","E36007249",60,35,30
"Glyndon","E36007250",80,50,35
"Greenwich West","E36007251",75,40,35
"Kidbrooke with Hornfair","E36007252",75,40,30
"Middle Park and Sutcliffe","E36007253",40,20,20
"Peninsula","E36007254",40,25,15
"Plumstead","E36007255",75,40,35
"Shooters Hill","E36007256",55,30,25
"Thamesmead Moorings","E36007257",95,45,50
"Woolwich Common","E36007258",95,55,40
"Woolwich Riverside","E36007259",75,45,35
"Belmont","E36007314",15,10,5
"Canons","E36007315",20,15,10
"Edgware","E36007316",20,5,15
"Greenhill","E36007317",50,25,25
"Harrow on the Hill","E36007318",35,20,10
"Harrow Weald","E36007319",30,25,5
"Hatch End","E36007320",10,5,0
"Headstone North","E36007321",15,5,10
"Headstone South","E36007322",30,15,15
"Kenton East","E36007323",10,5,5
"Kenton West","E36007324",15,10,5
"Marlborough","E36007325",35,25,10
"Pinner","E36007326",20,15,5
"Pinner South","E36007327",10,5,5
"Queensbury","E36007328",15,5,5
"Rayners Lane","E36007329",15,5,10
"Roxbourne","E36007330",45,20,20
"Roxeth","E36007331",40,25,10
"Stanmore Park","E36007332",35,20,15
"Wealdstone","E36007333",45,25,20
"West Harrow","E36007334",25,15,10
"Brooklands","E36007335",70,40,30
"Cranham","E36007336",25,20,5
"Elm Park","E36007337",30,20,10
"Emerson Park","E36007338",10,5,5
"Gooshays","E36007339",80,50,30
"Hacton","E36007340",20,15,10
"Harold Wood","E36007341",50,25,20
"Havering Park","E36007342",65,35,30
"Heaton","E36007343",60,35,25
"Hylands","E36007344",40,15,20
"Mawneys","E36007345",45,35,10
"Pettits","E36007346",15,10,5
"Rainham and Wennington","E36007347",40,20,20
"Romford Town","E36007348",55,30,25
"South Hornchurch","E36007349",60,35,25
"Squirrel's Heath","E36007350",25,15,10
"St Andrew's","E36007351",20,10,10
"Upminster","E36007352",20,15,5
"Barnhill","E36007353",40,20,20
"Botwell","E36007354",75,50,30
"Brunel","E36007355",25,15,10
"Cavendish","E36007356",20,10,10
"Charville","E36007357",35,20,10
"Eastcote and East Ruislip","E36007358",15,10,5
"Harefield","E36007359",20,15,5
"Heathrow Villages","E36007360",15,10,5
"Hillingdon East","E36007361",45,30,15
"Ickenham","E36007362",5,0,0
"Manor","E36007363",15,10,5
"Northwood","E36007364",5,0,5
"Northwood Hills","E36007365",20,10,10
"Pinkwell","E36007366",50,40,15
"South Ruislip","E36007367",15,10,5
"Townfield","E36007368",50,30,20
"Uxbridge North","E36007369",30,15,15
"Uxbridge South","E36007370",55,30,25
"West Drayton","E36007371",55,30,30
"West Ruislip","E36007372",10,5,5
"Yeading","E36007373",55,35,20
"Yiewsley","E36007374",40,20,15
"Bedfont","E36007375",55,30,30
"Brentford","E36007376",60,40,20
"Chiswick Homefields","E36007377",20,10,5
"Chiswick Riverside","E36007378",10,10,5
"Cranford","E36007379",50,20,30
"Feltham North","E36007380",40,25,15
"Feltham West","E36007381",65,40,25
"Hanworth","E36007382",75,40,30
"Hanworth Park","E36007383",35,25,10
"Heston Central","E36007384",45,25,20
"Heston East","E36007385",50,30,20
"Heston West","E36007386",60,40,20
"Hounslow Central","E36007387",55,35,20
"Hounslow Heath","E36007388",60,40,25
"Hounslow South","E36007389",25,15,10
"Hounslow West","E36007390",45,25,15
"Isleworth","E36007391",40,20,20
"Osterley and Spring Grove","E36007392",30,20,10
"Syon","E36007393",50,30,20
"Turnham Green","E36007394",35,15,20
"Alexandra","E36007429",20,10,10
"Berrylands","E36007430",15,5,5
"Beverley","E36007431",30,20,10
"Canbury","E36007432",25,20,5
"Chessington North and Hook","E36007433",25,15,5
"Chessington South","E36007434",25,10,10
"Coombe Hill","E36007435",25,20,5
"Coombe Vale","E36007436",10,5,0
"Grove","E36007437",40,20,20
"Norbiton","E36007438",50,35,10
"Old Malden","E36007439",25,15,5
"St James","E36007440",15,10,5
"St Mark's","E36007441",20,15,5
"Surbiton Hill","E36007442",5,5,5
"Tolworth and Hook Rise","E36007443",30,20,10
"Tudor","E36007444",10,5,5
"Abbey","E36007484",25,10,15
"Cannon Hill","E36007485",15,10,5
"Colliers Wood","E36007486",35,25,10
"Cricket Green","E36007487",65,35,30
"Dundonald","E36007488",10,5,5
"Figge's Marsh","E36007489",60,35,25
"Graveney","E36007490",20,15,5
"Hillside","E36007491",10,10,0
"Lavender Fields","E36007492",45,25,25
"Longthornton","E36007493",35,20,15
"Lower Morden","E36007494",15,5,10
"Merton Park","E36007495",10,10,0
"Pollards Hill","E36007496",60,35,25
"Ravensbury","E36007497",45,35,10
"Raynes Park","E36007498",10,5,5
"St Helier","E36007499",25,10,15
"Trinity","E36007500",15,10,5
"Village","E36007501",5,5,0
"West Barnes","E36007502",15,5,5
"Wimbledon Park","E36007503",25,15,10
"Aldborough","E36007524",30,15,15
"Barkingside","E36007525",20,20,5
"Bridge","E36007526",25,15,10
"Chadwell","E36007527",50,35,15
"Church End","E36007528",10,5,5
"Clayhall","E36007529",35,25,15
"Clementswood","E36007530",55,40,15
"Cranbrook","E36007531",35,25,5
"Fairlop","E36007532",30,15,15
"Fullwell","E36007533",40,15,25
"Goodmayes","E36007534",60,35,25
"Hainault","E36007535",35,20,15
"Loxford","E36007536",70,40,30
"Mayfield","E36007537",55,25,30
"Monkhams","E36007538",10,5,0
"Newbury","E36007539",65,40,25
"Roding","E36007540",35,25,10
"Seven Kings","E36007541",55,35,20
"Snaresbrook","E36007542",15,10,5
"Valentines","E36007543",45,25,20
"Wanstead","E36007544",15,10,5
"Barnes","E36007545",10,5,5
"East Sheen","E36007546",10,5,5
"Fulwell and Hampton Hill","E36007547",15,5,5
"Ham, Petersham and Richmond Riverside","E36007548",20,10,10
