"Ward","Code","Total","Male","Female","wards","Age","Aged 18-24"
"Tattenhall","E36001281",5,0,0
"Upton","E36001282",25,15,10
"Weaver and Cuddington","E36001283",20,15,5
"Whitby","E36001284",20,10,5
"Willaston and Thornton","E36001285",0,0,0
"Winnington and Castle","E36001286",45,25,15
"Winsford Over and Verdin","E36001287",85,40,45
"Winsford Swanlow and Dene","E36001288",40,25,15
"Winsford Wharton","E36001289",45,30,10
"Witton and Rudheath","E36001290",25,20,10
"Appleton","E36000113",30,15,15
"Beechwood","E36000114",5,5,0
"Birchfield","E36000115",15,10,5
"Broadheath","E36000116",20,15,5
"Daresbury","E36000117",5,5,0
"Ditton","E36000118",35,20,15
"Farnworth","E36000119",15,5,5
"Grange","E36000120",65,35,30
"Hale","E36000121",0,0,0
"Halton Brook","E36000122",35,20,15
"Halton Castle","E36000123",55,30,25
"Halton Lea","E36000124",55,35,20
"Halton View","E36000125",35,20,15
"Heath","E36000126",15,10,5
"Hough Green","E36000127",50,25,25
"Kingsway","E36000128",50,25,25
"Mersey","E36000129",35,20,15
"Norton North","E36000130",30,20,10
"Norton South","E36000131",50,30,25
"Riverside","E36000132",40,30,15
"Windmill Hill","E36000133",25,15,15
"Appleton","E36000134",5,5,5
"Bewsey and Whitecross","E36000135",65,35,30
"Birchwood","E36000136",35,15,15
"Burtonwood and Winwick","E36000137",15,10,10
"Culcheth, Glazebury and Croft","E36000138",15,10,5
"Fairfield and Howley","E36000139",70,40,30
"Grappenhall and Thelwall","E36000140",10,5,5
"Great Sankey North","E36000141",15,10,5
"Great Sankey South","E36000142",30,15,10
"Hatton, Stretton and Walton","E36000143",5,0,0
"Latchford East","E36000144",45,25,25
"Latchford West","E36000145",20,10,5
"Lymm","E36000146",15,5,10
"Orford","E36000147",50,30,20
"Penketh and Cuerdley","E36000148",10,5,5
"Poplars and Hulme","E36000149",65,40,25
"Poulton North","E36000150",40,25,15
"Poulton South","E36000151",10,5,5
"Rixton and Woolston","E36000152",15,10,5
"Stockton Heath","E36000153",10,5,5
"Westbrook","E36000154",5,5,0
"Whittle Hall","E36000155",30,15,10
"All Saints","E36001865",5,5,0
"Aspatria","E36001866",5,5,0
"Boltons","E36001867",0,0,0
"Broughton St Bridget's","E36001868",5,0,5
"Christchurch","E36001869",5,0,0
"Clifton","E36001870",5,5,0
"Crummock","E36001871",0,0,0
"Dalton","E36001872",0,0,0
"Derwent Valley","E36001873",0,0,0
"Ellen","E36001874",5,5,5
"Ellenborough","E36001875",15,10,5
"Ewanrigg","E36001876",25,15,10
"Flimby","E36001877",5,0,5
"Harrington","E36001878",5,0,0
"Holme","E36001879",5,0,5
"Keswick","E36001880",0,0,0
"Marsh","E36001881",0,0,0
"Moorclose","E36001882",45,25,20
"Moss Bay","E36001883",45,35,15
"Netherhall","E36001884",25,15,10
"Seaton","E36001885",10,5,0
"Silloth","E36001886",5,5,0
"Solway","E36001887",0,0,0
"St John's","E36001888",20,10,10
"St Michael's","E36001889",40,30,15
"Stainburn","E36001890",5,5,0
"Wampool","E36001891",5,0,0
"Warnell","E36001892",0,0,0
"Waver","E36001893",0,0,0
"Wharrels","E36001894",0,0,0
"Wigton","E36001895",20,15,5
"Barrow Island","E36001896",15,10,5
"Central","E36001897",45,30,20
"Dalton North","E36001898",20,15,0
"Dalton South","E36001899",25,15,10
"Hawcoat","E36001900",5,5,0
"Hindpool","E36001901",55,35,25
"Newbarns","E36001902",20,10,5
"Ormsgill","E36001903",35,20,15
"Parkside","E36001904",20,10,10
"Risedale","E36001905",35,25,10
"Roosecote","E36001906",5,5,5
"Walney North","E36001907",10,10,5
"Walney South","E36001908",10,10,5
"Belah","E36001909",15,10,5
"Belle Vue","E36001910",30,20,10
"Botcherby","E36001911",35,20,15
"Brampton","E36001912",10,5,5
"Burgh","E36001913",0,0,0
"Castle","E36001914",45,20,25
"Currock","E36001915",20,10,10
"Dalston","E36001916",15,10,5
"Denton Holme","E36001917",25,15,10
"Great Corby and Geltsdale","E36001918",0,0,0
"Harraby","E36001919",15,5,5
"Hayton","E36001920",5,5,0
"Irthing","E36001921",5,5,0
"Longtown & Rockcliffe","E36001922",10,5,0
"Lyne","E36001923",0,0,0
"Morton","E36001924",25,15,5
"St Aidans","E36001925",30,20,10
"Stanwix Rural","E36001926",5,5,0
"Stanwix Urban","E36001927",5,0,0
"Upperby","E36001928",25,15,15
"Wetheral","E36001929",5,5,0
"Yewdale","E36001930",5,5,0
"Arlecdon","E36001931",5,0,0
"Beckermet","E36001932",5,5,0
"Bootle","E36001933",0,0,0
"Bransty","E36001934",15,10,5
"Cleator Moor North","E36001935",15,10,5
"Cleator Moor South","E36001936",15,15,0
"Distington","E36001937",15,10,5
"Egremont North","E36001938",20,15,5
"Egremont South","E36001939",15,10,5
"Ennerdale","E36001940",0,0,0
"Frizington","E36001941",10,5,5
"Gosforth","E36001942",0,0,0
"Harbour","E36001943",35,25,10
"Haverigg","E36001944",5,0,0
"Hensingham","E36001945",10,5,5
"Hillcrest","E36001946",5,5,0
"Holborn Hill","E36001947",10,5,5
"Kells","E36001948",10,5,0
"Millom Without","E36001949",0,0,0
"Mirehouse","E36001950",25,15,10
"Moresby","E36001951",5,5,0
"Newtown","E36001952",10,5,5
"Sandwith","E36001953",20,10,15
"Seascale","E36001954",0,0,0
"St Bees","E36001955",5,0,0
"Alston Moor","E36001956",0,0,0
"Appleby (Appleby)","E36001957",5,0,0
"Appleby (Bongate)","E36001958",5,0,5
"Askham","E36001959",0,0,0
"Brough","E36001960",0,0,0
"Crosby Ravensworth","E36001961",0,0,0
"Dacre","E36001962",0,0,0
"Eamont","E36001963",0,0,0
"Greystoke","E36001964",0,0,0
"Hartside","E36001965",0,0,0
"Hesket","E36001966",0,0,0
"Kirkby Stephen,Ravenstonedale","E36001967",10,5,5
"Kirkby Thore","E36001968",0,0,0
"Kirkoswald","E36001969",0,0,0
"Langwathby","E36001970",0,0,0
"Lazonby","E36001971",0,0,0
"Long Marton","E36001972",0,0,0
"Morland","E36001973",0,0,0
"Orton with Tebay","E36001974",0,0,0
"Penrith Carleton","E36001975",0,0,0
"Penrith East","E36001976",10,10,0
"Penrith North","E36001977",5,0,0
"Penrith Pategill","E36001978",5,5,0
"Penrith South","E36001979",10,5,5
"Penrith West","E36001980",5,0,5
"Shap","E36001981",5,0,0
"Skelton","E36001982",0,0,0
"Ullswater","E36001983",0,0,0
"Warcop","E36001984",0,0,0
"Ambleside and Grasmere","E36001985",5,5,0
"Arnside and Beetham","E36001986",0,0,0
"Broughton","E36001987",0,0,0
"Burneside","E36001988",0,0,0
"Burton and Holme","E36001989",0,0,0
"Cartmel and Grange West","E36001990",0,0,0
"Coniston and Crake Valley","E36001991",0,0,0
"Crooklands","E36001992",0,0,0
"Grange North","E36001993",0,0,0
"Grange South","E36001994",0,0,0
"Hawkshead","E36001995",0,0,0
"Holker","E36001996",0,0,0
"Kendal Castle","E36001997",0,0,0
"Kendal Far Cross","E36001998",5,5,0
"Kendal Fell","E36001999",10,5,5
"Kendal Heron Hill","E36002000",0,0,0
"Kendal Highgate","E36002001",0,0,0
"Kendal Kirkland","E36002002",10,5,5
"Kendal Mintsfeet","E36002003",0,0,0
"Kendal Nether","E36002004",5,5,0
"Kendal Oxenholme and Natland","E36002005",0,0,0
"Kendal Parks","E36002006",0,0,0
"Kendal Romney","E36002007",5,5,0
"Kendal Stonecross","E36002008",0,0,0
"Kendal Strickland","E36002009",5,0,0
"Kendal Underley","E36002010",0,0,0
"Levens","E36002011",0,0,0
"Low Furness","E36002012",0,0,0
"Lyth Valley","E36002013",0,0,0
"Mid Furness","E36002014",5,5,5
"Milnthorpe","E36002015",0,0,0
"Sedbergh and Kirkby Lonsdale","E36002016",5,5,0
"Staveley-in-Cartmel","E36002017",0,0,0
"Staveley-in-Westmorland","E36002018",0,0,0
"Ulverston Central","E36002019",5,0,0
"Ulverston East","E36002020",5,0,0
"Ulverston North","E36002021",5,0,5
"Ulverston South","E36002022",0,0,0
"Ulverston Town","E36002023",0,0,0
"Ulverston West","E36002024",0,0,0
"Whinfell","E36002025",0,0,0
"Windermere Applethwaite and Troutbeck","E36002026",0,0,0
"Windermere Bowness North","E36002027",5,0,0
"Windermere Bowness South","E36002028",0,0,0
"Windermere Town","E36002029",0,0,0
"Astley Bridge","E36006236",55,35,20
"Bradshaw","E36006237",55,30,25
"Breightmet","E36006238",120,70,50
"Bromley Cross","E36006239",20,10,10
"Crompton","E36006240",130,70,60
"Farnworth","E36006241",145,100,45
"Great Lever","E36006242",110,65,40
"Halliwell","E36006243",140,80,60
"Harper Green","E36006244",105,60,45
"Heaton and Lostock","E36006245",25,15,15
"Horwich and Blackrod","E36006246",30,15,15
"Horwich North East","E36006247",40,25,15
"Hulton","E36006248",75,45,25
"Kearsley","E36006249",45,30,15
"Little Lever and Darcy Lever","E36006250",40,25,15
"Rumworth","E36006251",125,65,60
"Smithills","E36006252",60,35,25
"Tonge with the Haulgh","E36006253",115,75,45
"Westhoughton North and Chew Moor","E36006254",30,15,15
"Westhoughton South","E36006255",45,20,20
"Besses","E36006256",65,45,20
"Church","E36006257",30,20,10
"East","E36006258",95,60,35
"Elton","E36006259",55,35,20
"Holyrood","E36006260",40,25,15
"Moorside","E36006261",105,70,35
"North Manor","E36006262",10,5,5
"Pilkington Park","E36006263",20,15,5
"Radcliffe East","E36006264",65,35,35
"Radcliffe North","E36006265",40,25,15
